station_id,station_name,month,year,mean_ice_thickness
A1,A1,1,1996,31.333333333333332
A1,A1,2,1996,44.0
A1,A1,2,1997,36.0
A1,A1,2,2000,51.0
A1,A1,3,1996,33.0
A1,A1,3,1997,38.0
A1,A1,3,2000,35.0
A10,A10,1,1996,35.0
A10,A10,2,1996,45.75
A10,A10,3,1996,36.0
A2,A2,1,1996,33.666666666666664
A2,A2,2,1996,45.333333333333336
A2,A2,3,1996,30.0
A3,A3,1,1996,30.333333333333332
A3,A3,2,1996,34.5
A3,A3,2,1997,33.0
A3,A3,2,1998,27.5
A3,A3,2,2000,31.0
A3,A3,3,1996,22.0
A3,A3,3,1997,37.0
A3,A3,3,2000,22.0
A7,A7,1,1996,34.0
A7,A7,2,1996,52.0
A7,A7,2,1997,36.0
A7,A7,2,1998,43.5
A7,A7,2,2000,41.0
A7,A7,3,1996,39.666666666666664
A7,A7,3,1997,41.0
A7,A7,3,2000,35.0
A8,A8,1,1996,36.0
A8,A8,2,1996,52.25
A8,A8,2,1997,32.5
A8,A8,2,1998,38.5
A8,A8,2,2000,41.0
A8,A8,3,1996,45.666666666666664
A8,A8,3,1997,36.0
A8,A8,3,2000,36.0
B2,B2,3,2000,37.0
B4,B4,2,1996,20.0
B4,B4,2,1998,25.0
B4,B4,3,2000,32.0
B5,B5,2,1998,38.0
B5,B5,3,2000,32.0
B8,B8,1,1996,34.5
B8,B8,2,1996,47.0
B8,B8,2,1997,41.0
B8,B8,2,1998,61.5
B8,B8,2,2000,43.0
B8,B8,3,1996,44.333333333333336
B8,B8,3,1997,46.0
B8,B8,3,2000,33.0
C1,C1,2,1997,39.0
C1,C1,2,1998,44.5
C1,C1,2,2000,41.0
C1,C1,3,1997,51.5
C1,C1,3,2000,35.0
D1,D1,2,1996,44.0
D1,D1,2,1998,28.0
D1,D1,3,1997,41.0
D1,D1,3,2000,23.0
D2,D2,2,1996,19.0
D2,D2,3,1997,33.0
D2,D2,3,2000,10.0
D3,D3,2,1996,30.0
D3,D3,3,1997,37.0
D4,D4,2,1996,35.0
D4,D4,3,1997,34.0
D6,D6,2,1996,8.0
D7,D7,2,1996,17.0
D7,D7,3,1997,50.0
E1,E1,2,1996,55.0
E1,E1,2,1998,45.0
E1,E1,3,1997,46.0
E2,E2,2,1996,36.0
E2,E2,3,1997,28.0
F1,F1,2,1996,34.0
F1,F1,3,1997,30.0
G1,G1,2,1996,47.0
G2,G2,2,1996,48.0
G2,G2,3,1997,31.0
LT1,ALERT LT1,1,1983,87.5
LT1,ALERT LT1,1,1984,126.25
LT1,ALERT LT1,1,1985,109.25
LT1,ALERT LT1,1,1986,131.6
LT1,ALERT LT1,1,1987,102.5
LT1,ALERT LT1,1,1988,122.66666666666667
LT1,ALERT LT1,1,1990,106.0
LT1,ALERT LT1,1,1991,125.5
LT1,ALERT LT1,1,1992,149.0
LT1,ALERT LT1,1,1993,156.6
LT1,ALERT LT1,1,1994,150.25
LT1,ALERT LT1,1,1995,148.5
LT1,ALERT LT1,1,1996,193.33333333333334
LT1,ALERT LT1,1,1997,109.75
LT1,ALERT LT1,1,1998,141.25
LT1,ALERT LT1,2,1983,114.66666666666667
LT1,ALERT LT1,2,1984,165.0
LT1,ALERT LT1,2,1985,135.5
LT1,ALERT LT1,2,1986,143.0
LT1,ALERT LT1,2,1987,123.25
LT1,ALERT LT1,2,1988,141.75
LT1,ALERT LT1,2,1990,128.0
LT1,ALERT LT1,2,1991,135.75
LT1,ALERT LT1,2,1993,173.25
LT1,ALERT LT1,2,1994,167.5
LT1,ALERT LT1,2,1995,171.75
LT1,ALERT LT1,2,1996,207.4
LT1,ALERT LT1,2,1997,136.25
LT1,ALERT LT1,2,1998,147.5
LT1,ALERT LT1,3,1983,136.66666666666666
LT1,ALERT LT1,3,1984,187.25
LT1,ALERT LT1,3,1985,161.0
LT1,ALERT LT1,3,1986,158.8
LT1,ALERT LT1,3,1987,139.25
LT1,ALERT LT1,3,1988,157.66666666666666
LT1,ALERT LT1,3,1991,163.25
LT1,ALERT LT1,3,1993,182.0
LT1,ALERT LT1,3,1994,187.4
LT1,ALERT LT1,3,1995,198.2
LT1,ALERT LT1,3,1996,213.75
LT1,ALERT LT1,3,1997,147.0
LT1,ALERT LT1,3,1998,165.25
LT1,ALERT LT1,3,2002,150.75
LT1,ALERT LT1,4,1983,162.4
LT1,ALERT LT1,4,1984,195.75
LT1,ALERT LT1,4,1985,180.5
LT1,ALERT LT1,4,1986,174.5
LT1,ALERT LT1,4,1987,161.75
LT1,ALERT LT1,4,1988,174.33333333333334
LT1,ALERT LT1,4,1991,178.0
LT1,ALERT LT1,4,1993,196.5
LT1,ALERT LT1,4,1994,204.75
LT1,ALERT LT1,4,1995,218.5
LT1,ALERT LT1,4,1996,221.75
LT1,ALERT LT1,4,1997,176.0
LT1,ALERT LT1,4,1999,184.25
LT1,ALERT LT1,5,1983,184.25
LT1,ALERT LT1,5,1984,218.5
LT1,ALERT LT1,5,1985,193.25
LT1,ALERT LT1,5,1986,180.0
LT1,ALERT LT1,5,1987,167.4
LT1,ALERT LT1,5,1988,177.5
LT1,ALERT LT1,5,1991,189.75
LT1,ALERT LT1,5,1992,192.5
LT1,ALERT LT1,5,1993,210.8
LT1,ALERT LT1,5,1994,213.0
LT1,ALERT LT1,5,1995,222.8
LT1,ALERT LT1,5,1996,235.5
LT1,ALERT LT1,5,1997,182.6
LT1,ALERT LT1,5,2000,212.33333333333334
LT1,ALERT LT1,6,1983,186.66666666666666
LT1,ALERT LT1,6,1984,214.33333333333334
LT1,ALERT LT1,6,1986,183.5
LT1,ALERT LT1,6,1988,179.0
LT1,ALERT LT1,6,1991,190.0
LT1,ALERT LT1,6,1992,200.5
LT1,ALERT LT1,6,1993,196.33333333333334
LT1,ALERT LT1,6,1994,218.0
LT1,ALERT LT1,6,1995,219.5
LT1,ALERT LT1,6,1996,238.33333333333334
LT1,ALERT LT1,6,1997,182.0
LT1,ALERT LT1,9,1982,21.0
LT1,ALERT LT1,9,1983,25.5
LT1,ALERT LT1,9,1986,29.0
LT1,ALERT LT1,9,1994,29.0
LT1,ALERT LT1,9,1995,160.66666666666666
